District,Area_Type,Road_Facility,School_Distance_km,Hospital_Distance_km,Bus_Stand_Distance_km,Airport_Distance_km,Price_per_sqft
Tirunelveli,Village,Yes,7.82,8.99,3.62,5.9,497.5
Vellore,Urban,Yes,6.54,0.94,5.8,46.99,906
Namakkal,Urban,Yes,5.3,6.54,2.4,30.98,822
Namakkal,Village,Yes,1,9.31,3.12,49.18,463.3
Madurai,Village,Yes,4.56,0.3,7.54,28.6,621.2
Dindigul,Urban,Yes,4.46,1.92,4.01,2.69,836.2
Chennai,Urban,Yes,3.19,7.85,4.42,10.06,1652.8
Coimbatore,Village,No,8.96,9.01,7.38,5.34,622.4
Namakkal,Urban,Yes,3.95,4.14,6.65,18.48,835.2
Namakkal,Rural,Yes,8.04,1.21,7.9,38.84,609.4
Vellore,Urban,Yes,7.14,11.87,4.89,46.39,836
Namakkal,Village,Yes,3.38,1.05,2.56,16.93,477.1
Namakkal,Rural,No,4.77,1.88,5.73,38.28,489.6
Tirunelveli,Village,Yes,5.28,6.47,0.3,6.29,544.3
Tirunelveli,Rural,Yes,6.99,2.18,4.87,27.45,659.1
Salem,Village,Yes,6.98,13.22,5.03,15.49,548.6
Namakkal,Village,Yes,8.94,8.14,6.48,44.91,395.7
Cuddalore,Urban,Yes,4.33,12.29,6.9,1.34,856.3
Karur,Rural,Yes,1.29,5.13,7.55,16.84,634.2
Vellore,Rural,Yes,9.72,14.44,2.09,25.37,644.4
Erode,Urban,Yes,6.13,7.59,0.51,14.65,894.1
Chennai,Urban,Yes,4.95,14.79,2.01,33.93,1559.6
Vellore,Urban,Yes,3.74,9.52,5.1,27.25,947
Chennai,Urban,Yes,6.99,12.89,2.68,11.79,1591.2
Madurai,Village,Yes,1.05,14.11,3.24,26.37,620.1
Chennai,Rural,Yes,2.17,8.17,5.6,12.2,1206.8
Dindigul,Village,Yes,2.68,14.94,7.73,28.36,412.2
Karur,Urban,Yes,7.03,12.72,6.86,20.82,769.4
Vellore,Village,No,7.87,10.07,4.69,19.24,438.8
Madurai,Village,Yes,3.12,7.34,3.64,49.73,622.6
Chennai,Urban,Yes,1.87,5.56,5.98,36.33,1625.7
Chennai,Rural,Yes,6.4,3.83,4.76,48.97,1214.4
Trichy,Village,Yes,3.57,9.71,5.38,43.34,623.7
Madurai,Rural,Yes,0.53,14.92,3.81,14.7,779.8
Madurai,Rural,No,3.37,8.34,4.62,49.04,585.4
Kanchipuram,Urban,Yes,2.76,7.33,3.04,20.34,1419.2
Dindigul,Village,Yes,2.17,10.1,2.93,13.45,503.1
Coimbatore,Urban,No,1.45,10.66,4.47,15.53,1077.7
Madurai,Urban,Yes,0.91,0.18,5.06,10.52,1087.4
Cuddalore,Village,No,3.45,5.7,0.84,29.34,489.4
Madurai,Rural,Yes,2.94,8.9,0.34,2.83,852.5
Kanchipuram,Urban,Yes,5.27,11.57,1.8,31.52,1352.4
Trichy,Urban,Yes,5.45,9.6,5.84,48.82,1035
Dindigul,Urban,Yes,2.78,6.64,0.72,2.24,834.4
Cuddalore,Village,Yes,4.15,2.68,1.34,13.26,568.3
Trichy,Rural,Yes,2.87,14.33,5.93,28.16,816.9
Thanjavur,Rural,Yes,3.62,11.39,0.21,6.69,637.2
Kanchipuram,Urban,No,7.07,7.17,0.87,25.09,1167.1
Salem,Urban,Yes,4.05,9.28,5.12,3.22,939.7
Dindigul,Rural,Yes,8.58,9.91,1.39,4.46,671.3
Coimbatore,Urban,Yes,9.41,8.67,3.17,32.52,1301.4
Thanjavur,Rural,No,3.92,14.42,7.25,10.59,514.1
Namakkal,Urban,Yes,1.03,10.28,0.66,16.63,873
Dindigul,Urban,No,2.89,1.86,5.6,31.82,690.3
Vellore,Rural,No,2.89,2.74,6.03,40.53,618.4
Madurai,Rural,Yes,7.79,5.18,7.45,43.06,723.4
Tirunelveli,Village,Yes,1.12,13.55,4.09,41.5,458.7
Thanjavur,Village,Yes,0.21,13.59,0.82,16.65,541
Kanchipuram,Village,Yes,6.36,6.78,2.42,17.1,851.6
Erode,Village,Yes,7.92,1.46,4.01,3.82,530.2
Dindigul,Rural,No,3.57,1.84,1.23,38.31,557.9
Chennai,Urban,Yes,7.04,1.18,6.59,35.61,1605.7
Thanjavur,Urban,No,3.81,5.62,6.52,47.42,651.6
Thanjavur,Village,Yes,0.93,11.68,4.51,21.79,535.2
Madurai,Urban,Yes,0.21,7.08,0.54,6.82,1097.6
Kanchipuram,Rural,Yes,5.88,14.44,3.06,15,1082.9
Chennai,Urban,No,0.22,14.55,0.44,44.67,1364.8
Erode,Village,Yes,5.58,14.54,4.23,31.84,495
Kanchipuram,Rural,Yes,5.88,13.53,0.46,14.77,1090.5
Vellore,Urban,Yes,3.42,2.63,5.21,20.03,935.5
Coimbatore,Urban,Yes,2.67,6.85,0.36,14.71,1346.1
Thanjavur,Rural,Yes,9.12,12.36,7.6,36.56,619.6
Thoothukudi,Rural,No,8.67,0.77,0.31,19.45,549
Coimbatore,Village,Yes,5.98,5.78,7.76,42.26,701.2
Chennai,Rural,Yes,2.81,0.94,6.93,40.83,1266.1
Erode,Village,Yes,7.71,14.18,6.81,13.12,448.8
Thoothukudi,Urban,No,6.1,3.51,5.41,31.29,702.6
Kanchipuram,Urban,Yes,5.25,11.61,4.21,42.76,1314.8
Namakkal,Rural,No,4.09,2.1,0.33,38,582.3
Cuddalore,Rural,Yes,1.45,0.32,2.87,29.91,737.5
Kanchipuram,Rural,No,3.55,7.76,6.29,20.43,907.5
Dindigul,Village,No,1.56,13.91,3.99,13.65,461.3
Erode,Village,Yes,3.35,9.54,2,4.72,583.2
Tirunelveli,Urban,Yes,1.47,9.65,1.54,17.94,839.1
Madurai,Rural,No,6.06,3.44,6.59,17.91,669.7
Thanjavur,Urban,Yes,5.39,5.4,7.16,7.31,874.3
Thanjavur,Urban,Yes,4.86,10.35,4.14,8.69,804.6
Thanjavur,Urban,No,0.94,9,7.89,27.29,648.5
Trichy,Urban,Yes,5.36,10.84,0.59,8.24,1122.6
Tirunelveli,Rural,No,7.52,0.55,6.95,18.35,590.5
Kanchipuram,Urban,Yes,1.9,8.5,6.74,5.37,1371
Namakkal,Urban,Yes,4.79,5.39,5.23,24.5,775
Kanchipuram,Rural,Yes,5.91,8.51,3.09,17.53,1087.6
Dindigul,Rural,Yes,5.03,5.02,7.48,1.37,627.1
Trichy,Urban,Yes,8.52,1.41,6.47,3.73,1043.5
Tirunelveli,Urban,Yes,7,14.96,7.18,29.22,746.9
Salem,Urban,No,4.96,10.87,6.58,36.2,779.4
Vellore,Rural,No,2.13,14.52,5.72,10.78,595.8
Chennai,Rural,Yes,7.7,1.4,4.1,46.67,1251.5
Karur,Rural,Yes,4.6,8.27,4.44,10.88,587.5
Coimbatore,Urban,Yes,0.13,1.84,3.84,30.7,1309.9
Cuddalore,Urban,No,7.49,6.19,7.47,49.56,717.3
Namakkal,Urban,No,7.24,0.82,6.27,41.57,627
